,dates,ratings,Reviews
59,"June 24, 2019",Rated 2 stars out of five stars,I'm usizng android Q beta 4 and whenever i try to login it says I'm using old android version. please fix it
60,"June 23, 2019",Rated 1 stars out of five stars,Unable to trnsfr direct remit feautre after the upgrade of this app.. After adng beneficiary app fails to save saying prbln due to maintenance
61,"June 27, 2019",Rated 2 stars out of five stars,I can't sent money to new beneficiary . why ???
62,"June 15, 2019",Rated 1 stars out of five stars,Hangs after log in. Worst banking app. Just uninstalled it.
63,"June 22, 2019",Rated 1 stars out of five stars,Updated version does not even download due to which I can't even use my mobile app
64,"June 24, 2019",Rated 5 stars out of five stars,Good app. Easy to use. Good design. User friendly
65,"June 22, 2019",Rated 4 stars out of five stars,a very useful app to manage and secure your bank accounts and transactions
66,"June 22, 2019",Rated 1 stars out of five stars,bad ..they blocked my account & i lost my money ...and you cant reach to someone to call
67,"June 1, 2019",Rated 5 stars out of five stars,Easy to use and control your account. Best in the banking market
68,"June 22, 2019",Rated 2 stars out of five stars,Really wish it was more organized and clear where payments are coming from
69,"May 28, 2019",Rated 4 stars out of five stars,"a good application that can use some modifications, on how to report fraud, how to communicate with someone for immediate support..."
70,"June 2, 2019",Rated 5 stars out of five stars,I think it is the best mobile banking application in the UAE ever
71,"June 23, 2019",Rated 1 stars out of five stars,Unable to open the app.. How long will it take to update
72,"May 29, 2019",Rated 5 stars out of five stars,"Very efficient and quick. Just a few bugs in the processing part, but very helpful."
73,"May 29, 2019",Rated 4 stars out of five stars,Emirates nbd yur app developers * .. the app is not working after update 26 jan 2019 Now its working fine after update. 29/05/2019
74,"June 23, 2019",Rated 3 stars out of five stars,i can't download it on my S7 edge😡. always stuck @ 87mB
75,"May 29, 2019",Rated 3 stars out of five stars,"great for simple things, but lacks some important aspects of the main site e.g. direct remit to UK"
76,"May 28, 2019",Rated 1 stars out of five stars,"every 2.months, app keeps messing up my password and causes me to get locked out of my account"
77,"May 25, 2019",Rated 5 stars out of five stars,"very handy, easy to use and transfer funds etc. best bank in UAE I would recommend this bank to others."
78,"June 27, 2019",Rated 1 stars out of five stars,regular updates almost monthly. tremendous amount of space consumed
79,"June 25, 2019",Rated 1 stars out of five stars,wrost bank ever. not able to add direct remit beneficiary. no response
80,"May 26, 2019",Rated 2 stars out of five stars,"This app is not user friendly at all. Everytime you face a problem and to fix it, you spend hours and customer care really needs to improve!"
81,"June 11, 2019",Rated 5 stars out of five stars,the best Bank in service and customer satisfaction.
82,"June 22, 2019",Rated 2 stars out of five stars,it doesn't allow to install to Android with no GPS phone which is my case
83,"June 27, 2019",Rated 5 stars out of five stars,best of the best 12 year in using the services of Emirates NBD
84,"May 31, 2019",Rated 5 stars out of five stars,Crashes after logging. Last two updates are not good.
85,"June 23, 2019",Rated 5 stars out of five stars,very good and secure app for online or internet addict ppl keep evolving...
86,"May 28, 2019",Rated 5 stars out of five stars,Great app with highly secured UI experience! This is the first and best mobile banking App I've used!
87,"June 25, 2019",Rated 5 stars out of five stars,An app that satisfies almost all my physical banking needs.
88,"June 23, 2019",Rated 5 stars out of five stars,Good experience. One of the best bank in uae
89,"June 22, 2019",Rated 5 stars out of five stars,really easy and fast to reach out for any purpose 😊🙏
90,"May 30, 2019",Rated 5 stars out of five stars,ENBD is at the forefront of cutting edge tech. Brilliant UI and intuitive functionality.
91,"June 23, 2019",Rated 1 stars out of five stars,This app always have some gateway problem.Pls try to fix the bug
92,"June 22, 2019",Rated 3 stars out of five stars,it's good but not clear in credit card when I am did it
93,"June 22, 2019",Rated 5 stars out of five stars,the number one bank in uae .i am giving 100 marks
94,"June 25, 2019",Rated 5 stars out of five stars,very good app nice for and very convienent for everybody those who have nbd a/c holder
95,"June 26, 2019",Rated 1 stars out of five stars,its very Poor security not a worth and asking location so i can't give star
96,"June 26, 2019",Rated 2 stars out of five stars,not user friendly. slow and keeps hanging.
97,"June 13, 2019",Rated 5 stars out of five stars,easy to use and you can easily find everything that you want to
98,"June 8, 2019",Rated 5 stars out of five stars,I think this is the best banking app in the UAE
99,"May 29, 2019",Rated 1 stars out of five stars,No support for Android Q. It prevents me from logging in and disllays a message that I'm using an Android version below 5.0... What?! 😕
100,"May 29, 2019",Rated 1 stars out of five stars,It doesn't let me sign in and asks to update my OS (I'm on Android 10)
101,"May 29, 2019",Rated 5 stars out of five stars,Great app and user friendly UI. Everything can be done through the app
102,"June 2, 2019",Rated 5 stars out of five stars,amazing it fulfils all my banking needs in one platform.
103,"May 29, 2019",Rated 5 stars out of five stars,Best online banking app in the region. fantastic responsiveness and wonderful design. Keep up the availability.
104,"June 1, 2019",Rated 5 stars out of five stars,Best banking app I have ever experienced.
105,"June 22, 2019",Rated 5 stars out of five stars,Best App I have ever used in Banking but frequently ask for update
106,"June 22, 2019",Rated 5 stars out of five stars,dont ask again coz this bank always super if have 100 star im happy to select 100 star
107,"May 29, 2019",Rated 4 stars out of five stars,very nice app but id the initial animation goes away it would be better and faster.
108,"May 29, 2019",Rated 5 stars out of five stars,Really very easy and secure ... I am enjoying with Emirates NBD Application ... Thank you team
109,"June 9, 2019",Rated 1 stars out of five stars,doesn't work and too slow. always hang
110,"May 26, 2019",Rated 4 stars out of five stars,if i could see my statment in more detail similar to the website experience would be great
111,"June 20, 2019",Rated 5 stars out of five stars,one of the best banking service in dubai
112,"May 25, 2019",Rated 1 stars out of five stars,After updates when try to transfer payment app become stop. came back again on home page. please fix it.
113,"June 22, 2019",Rated 5 stars out of five stars,Solve all my banking problems just sitting by home.
114,"June 22, 2019",Rated 5 stars out of five stars,it is an amazing experience. best banking application ever I tried in UAE
115,"May 30, 2019",Rated 1 stars out of five stars,It will not download past 65%. FIX IT !!
116,"June 24, 2019",Rated 4 stars out of five stars,like the simple and secured features.
117,"May 30, 2019",Rated 5 stars out of five stars,I tried so many times but Unable to Download the new application In Samsung S9 kindly fix it
118,"June 22, 2019",Rated 3 stars out of five stars,Best and easiest way for transfer fund to india
119,"June 21, 2019",Rated 5 stars out of five stars,This app is very useful and easy to operate.
120,"June 25, 2019",Rated 4 stars out of five stars,options services features usage overall everything is fine
121,"May 25, 2019",Rated 5 stars out of five stars,very happy from this app keeping my self updated from my funds saving my time from transfer
122,"June 6, 2019",Rated 1 stars out of five stars,Worst app ever.. not at all user friendly
123,"May 30, 2019",Rated 5 stars out of five stars,It makes life easy to manage ur own financing at ur finger tip!!
124,"May 31, 2019",Rated 5 stars out of five stars,thank you NBD.. but my emmaar credit card is temporarily blocked so sad..
125,"May 30, 2019",Rated 5 stars out of five stars,very easy to use application of one of the best bank in UAE
126,"May 26, 2019",Rated 5 stars out of five stars,"It is a virtual bank. very useful. Almost everything you can do in a branch, you can do with this app."
127,"June 10, 2019",Rated 1 stars out of five stars,very bad not useful at all making customer a idiot
128,"June 15, 2019",Rated 5 stars out of five stars,Better and Convenient for complete Online Services
129,"May 27, 2019",Rated 4 stars out of five stars,I wish i could see amortization schedule of my loans.
130,"June 22, 2019",Rated 5 stars out of five stars,Easy to use. Best banking app
131,"June 7, 2019",Rated 1 stars out of five stars,doesn't update when you transfer to your nbd card
132,"June 22, 2019",Rated 5 stars out of five stars,The best application in the world
133,"June 26, 2019",Rated 1 stars out of five stars,why have you made it so complicated?
134,"May 25, 2019",Rated 4 stars out of five stars,good mobile application for easy on line banking!!!
135,"June 1, 2019",Rated 5 stars out of five stars,Perfect App for an online banking system
136,"June 26, 2019",Rated 5 stars out of five stars,easy and convenient to use app
137,"June 3, 2019",Rated 5 stars out of five stars,great app..very useful in any county i go
138,"June 10, 2019",Rated 1 stars out of five stars,no customer service and no support
139,"May 29, 2019",Rated 5 stars out of five stars,"The best App, very convenient and easy to use."
140,"May 31, 2019",Rated 5 stars out of five stars,Excellent service and most advanced banking services
141,"June 1, 2019",Rated 5 stars out of five stars,"excellent Application, user-friendly"
142,"March 29, 2019",Rated 1 stars out of five stars,"There is an option on the app to convert your outstanding balance of credit card into instalments, but when you pay it off there is no option to cancel that balance conversion. Therefore I was charged interest twice already again although I paid my whole credit card dept at once. This needs to be fixed immediately. If you have an option to take the balance conversion through app you have to have an option of cancelling it as well!"
143,"June 1, 2019",Rated 5 stars out of five stars,its very easy way to work its superb app
144,"June 26, 2019",Rated 5 stars out of five stars,clear instructions and overview. smart
145,"June 7, 2019",Rated 5 stars out of five stars,Was quite easy to navigate.
146,"June 11, 2019",Rated 5 stars out of five stars,"perfect 👌, made my life easier"
147,"May 29, 2019",Rated 1 stars out of five stars,many times tried to login all the time time out message came. could not get connected..
148,"June 23, 2019",Rated 5 stars out of five stars,Really nice app for ease of use
149,"June 26, 2019",Rated 4 stars out of five stars,it is useful and quick transaction
150,"May 31, 2019",Rated 4 stars out of five stars,Its good but sometime not working well
151,"June 6, 2019",Rated 5 stars out of five stars,Navigation is quite easy.
152,"May 29, 2019",Rated 1 stars out of five stars,Incredibly frustrating. Can't access my account without downloading the app.
153,"May 27, 2019",Rated 4 stars out of five stars,the app is really help full makes life easy as u never expect.
154,"June 22, 2019",Rated 5 stars out of five stars,always helpful. Thank you ENBD.
155,"June 19, 2019",Rated 5 stars out of five stars,"Excellent app, very user freindly."
156,"February 13, 2019",Rated 1 stars out of five stars,"It used to work fine. Now they have introduced this new ""smart pass"" thing which is just a pain. It's been 3 transactions, all of them failed. Tried uninstalling and re-installing the app but still didn't work. Disappointed and frustrated."
157,"March 17, 2019",Rated 1 stars out of five stars,there's something wrong with the app. I tried to download/install it on 3 different phones and it keeps stopping at 87.93MB / 65%. Please sort this issue out. a lot of ppl are affected and it hasn't been fixed in more than a week obviously.
158,"May 16, 2019",Rated 5 stars out of five stars,"best app till now I have use in any kind of banking, everything just a click away. easy to understand and very easy to operate. I LOVE THIS APP 👍👍👍 7*"
159,"June 22, 2019",Rated 5 stars out of five stars,Emirates Nbd is giving high quality service
160,"March 17, 2019",Rated 1 stars out of five stars,"I uninstalled it and now i can not reinstall the application, it stops downloading at 65%. Edit: i had a currupted installation. I had to fix it by downloading the APK from outside of Google play. Not going to change my review until this no longer becomes an issue for currupted installations. It took me three long days of tinkering, i had to use the archaic website to conduct my transfers in the mean time."
161,"May 30, 2019",Rated 5 stars out of five stars,"Superb..easy, user-friendly app."
162,"March 6, 2019",Rated 1 stars out of five stars,"Provider Du doesn't have Consumer number,they have Account num which includes dot.But the app doesn't allow dot though the popup keybord does have it.Impossible to add Du beneficiary for payment. Tried to send complaint thru the form.Form doesn't allow upper apostrophes,only letters. The field 'email ' is pre-populated from profile and masked but the form returns error while sending requesting to populate the correct email! It is impossible because the field is blocked for editing!"
163,"June 1, 2019",Rated 5 stars out of five stars,simple and effective app.
164,"March 30, 2019",Rated 2 stars out of five stars,"Very poor services and pathetic app. One of the worst banks. No customer service, no delivery on time, no answers from personal banker, no answers from the tele banker....its the worst banking service experience of my life. I regret the day i opened my account with them."
165,"February 13, 2019",Rated 1 stars out of five stars,before this app was amazing but now adays hanging mostly. also OTP is recieved so late that it says timeout and try again. new beneficiary i am trying since last 3 days to add .more than 12 attempts and i am unable to add still bcoz of hanging and OTP delayed..
166,"June 24, 2019",Rated 4 stars out of five stars,user friendly. well done E NBD
167,"June 26, 2019",Rated 1 stars out of five stars,horrible with this stupid new smart bla bla
168,"April 15, 2019",Rated 2 stars out of five stars,"Never gave me any trouble until I changed my phone. Worked like a dream on iOS and when I changed to an Android device, it doesn't allow me to setup finger print access."
169,"May 28, 2019",Rated 5 stars out of five stars,wonderful... just i say wonderful bank in all aspects..
170,"June 22, 2019",Rated 5 stars out of five stars,One of the best Banking apps
171,"April 3, 2019",Rated 1 stars out of five stars,I am in roaming.. I update my app every month. Today I wanted to check my balance and it would not open without an update. Horrible service!! I had to pay a fortune to get Data.. Update and then check my balances... Technology is to ease up the problem and not create new
172,"May 28, 2019",Rated 5 stars out of five stars,Best of Best & Number one morover easy to use .👍
173,"March 26, 2019",Rated 1 stars out of five stars,To pushy and really aggressive they want all your personal information so they can stalk you with ads all the time. I had no choice to down load this app. every time I logged on to my internet banking it gave me no choice but to use this app. there should be a law against this. When down loading the app it wanted me to open my phone so the bank has all my personal details. It's really wrong.
174,"March 19, 2019",Rated 1 stars out of five stars,"Tried downloading a million times and followed all troubshooting resolutions provided. Basically, the app itself is half-baked by some retard; so unable to download. Such a waste of time. It stops at 65% no matter how hard you try. No star for the app but forced to give 1 star inorder to post."
175,"May 29, 2019",Rated 5 stars out of five stars,user friendly....never seen in any other banking
176,"May 29, 2019",Rated 5 stars out of five stars,User friendly. very easy and convenient.
177,"June 23, 2019",Rated 5 stars out of five stars,it's very easy I like thanks Emirates nbd
178,"May 29, 2019",Rated 5 stars out of five stars,"The updates take into consideration all types of issues... the is very useful to pay my phone bill, credit cards of other banks, and every monitoring ."
179,"June 21, 2019",Rated 5 stars out of five stars,"perfect bank application, like it"
180,"June 3, 2019",Rated 5 stars out of five stars,user friendly and transparent
181,"January 26, 2019",Rated 1 stars out of five stars,"Since I updated the app I can not sign in. It is loading for ages or sends ""check internet connection"" message. Never had problems with the app before and after updating it I a. unable to use it."
182,"June 22, 2019",Rated 5 stars out of five stars,Execellent better than phone banking its the worst
183,"June 26, 2019",Rated 3 stars out of five stars,will rate more or less after use
184,"June 24, 2019",Rated 5 stars out of five stars,feel secured now with this app
185,"June 1, 2019",Rated 5 stars out of five stars,Very user friendly and convenient App.
186,"June 26, 2019",Rated 4 stars out of five stars,very useful and easy to use
187,"May 30, 2019",Rated 5 stars out of five stars,"Amazing apk, really friendly and easy to use"
188,"June 22, 2019",Rated 5 stars out of five stars,nice app easily manage banking system
189,"June 24, 2019",Rated 5 stars out of five stars,really good BANK and online banking
190,"June 25, 2019",Rated 1 stars out of five stars,to much poor not friendly user!
191,"June 12, 2019",Rated 2 stars out of five stars,doesn't look solid enough
192,"April 1, 2019",Rated 1 stars out of five stars,"This app used to work very well, later after recent update i can't even login. Every time I try logging in it says ""Kindly check your internet connection"" even if I have very good internet connection it shows the same. I have activated Smart token now I can't even access this."
193,"June 24, 2019",Rated 5 stars out of five stars,Easy to manage my transactions
194,"April 27, 2019",Rated 2 stars out of five stars,"The app would benefit from some refreshed design thinking - with customer experience as the focal point, not upselling products."
195,"June 22, 2019",Rated 5 stars out of five stars,perfect app makes life alot easier
196,"May 26, 2019",Rated 2 stars out of five stars,"A huge application with more complications than ease of use. It has all the services, however the user experience and interface need a lot of work."
197,"May 28, 2019",Rated 4 stars out of five stars,I feel secured banking with Emirates NBD.
198,"June 18, 2019",Rated 5 stars out of five stars,Very useful app from Emirates NBD
199,"May 2, 2019",Rated 2 stars out of five stars,its good but for some reason my fingerscan ability to log in is gone. it was working fine last time. i dont know how i can bring it back.
200,"May 26, 2019",Rated 5 stars out of five stars,great app... helpful... convenient...
201,"June 22, 2019",Rated 5 stars out of five stars,easy ... fast ... save time
202,"June 25, 2019",Rated 5 stars out of five stars,the best online banking ever
203,"June 14, 2019",Rated 5 stars out of five stars,Superb apps and great!!!
204,"June 19, 2019",Rated 5 stars out of five stars,easy for Transfer money to india
205,"February 15, 2019",Rated 1 stars out of five stars,"why i am forced to update? i am on mobile data and need to do critical transaction, because of you i have to lose time!!!!!!"
206,"May 25, 2019",Rated 5 stars out of five stars,"love the app, super user friendly interface"
207,"June 9, 2019",Rated 5 stars out of five stars,"very useful, saves time."
208,"March 29, 2019",Rated 5 stars out of five stars,App is really good. But due to system upgrade i am not able to use enbd pay in my device huawei honor 9. Appreciate if you could fix the issue by next update.
209,"May 28, 2019",Rated 1 stars out of five stars,"Hangs up frequent, Emirates NBD Pay still not working"
210,"June 25, 2019",Rated 4 stars out of five stars,it is good and easy to use
211,"March 12, 2019",Rated 1 stars out of five stars,i had a very bad experience with emirates nbd credit cart payment. only for one day delay of payment they charge me for 230 aed for late payment + 70 aed for finance charges!!!
212,"May 26, 2019",Rated 5 stars out of five stars,fantastic app... does all my banking needs.
213,"January 27, 2019",Rated 1 stars out of five stars,"so bad, the apps literally don't give enough time to input information of my new beneficiaries! I've tried input info for 4 times or more.... not able to do it at all! Such a badly written app!"
214,"February 25, 2019",Rated 4 stars out of five stars,"I have been using this app for quite sometime now and its one of the apps when you think of online banking. But, recently i have changed from phone from a oneplus 3 to the oneplus 6 and i am not able to open the app since then. please help"
215,"June 1, 2019",Rated 5 stars out of five stars,"Fantastic, except auto reply"
216,"May 27, 2019",Rated 2 stars out of five stars,UI experience is good in this app.
217,"June 23, 2019",Rated 5 stars out of five stars,good experience so for no harms
218,"March 30, 2019",Rated 1 stars out of five stars,"with introduction of the new updated application, I can't open my account as it writes for me update can't be made. before the updates the mobile banking was working just great."
219,"June 16, 2019",Rated 1 stars out of five stars,not satisfied with dashboard exp
220,"April 26, 2019",Rated 2 stars out of five stars,i was in roaming .. i was not updating .. so i uninstalled .. now im not able to install again. at 81% it stop and starts again... can support help..
221,"February 4, 2019",Rated 3 stars out of five stars,"since last couple of updates it keeps crashing while making payments through the app. also, over time the app size has become huge and the app doesn't seem to give options to clean up data to manage the size."
222,"June 23, 2019",Rated 5 stars out of five stars,"excellent app, good service from nbd"
223,"January 27, 2019",Rated 5 stars out of five stars,"It's smart app that has much to give, and it would be great if you could add some features to filter and categorize your expanses for better understanding of your purchases Thanks"
224,"May 26, 2019",Rated 3 stars out of five stars,is there any charges to use it.
225,"May 26, 2019",Rated 5 stars out of five stars,Best App of Best Bank in Middle East
226,"May 8, 2019",Rated 2 stars out of five stars,"the ""the total balance in your accounts"" feature is disappeared in that version. why?"
227,"May 27, 2019",Rated 4 stars out of five stars,its good but some time slow service .
228,"May 4, 2019",Rated 1 stars out of five stars,"The rating is not for the app,but for the Eva automated phone customer service. it has become very hard to reach a phone advisor."
229,"June 23, 2019",Rated 5 stars out of five stars,easy helpful and fast love it
230,"April 12, 2019",Rated 5 stars out of five stars,"Best app, easy to operate. Get all deals, info and every thing related to banking line."
231,"June 23, 2019",Rated 1 stars out of five stars,worst bank worst app worst service all the time worst app
